,Place,Name,Event,Team,Time,Points,Gender
0,1,"Nicolas, Javier",50 Freestyle SCY,Brigham Young University,19.79,20.0,Male
1,2,"Driscoll, Matthew",50 Freestyle SCY,UC Santa Barbara,19.96,17.0,Male
2,3,"Fasolo, Fabio",50 Freestyle SCY,University of Incarnate Word,20.06,16.0,Male
3,4,"Harrison, Brigham",50 Freestyle SCY,Brigham Young University,20.15,15.0,Male
4,5,"Daily, Spencer",50 Freestyle SCY,UC San Diego,20.19,7.0,Male
5,5,"Gutowski, Sean",50 Freestyle SCY,UC Santa Barbara,20.19,7.0,Male
6,7,"Kolesnykov, Mykyta",50 Freestyle SCY,University of Incarnate Word,20.20,12.0,Male
7,8,"Surkovic, Mario",50 Freestyle SCY,University of Hawaii,20.22,11.0,Male
8,9,"Sivec, Vili",50 Freestyle SCY,California State University Bakersfield,20.31,9.0,Male
9,10,"Dominguez, Josue",50 Freestyle SCY,Brigham Young University,20.32,3.5,Male
10,10,"Riva, Luigi",50 Freestyle SCY,Brigham Young University,20.32,3.5,Male
11,12,"Smith, Trevor",50 Freestyle SCY,University of Incarnate Word,20.38,5.0,Male
12,13,"Camacho, Diego",50 Freestyle SCY,Brigham Young University,20.45,2.0,Male
13,13,"Nwaeze, Amechi",50 Freestyle SCY,University of Incarnate Word,20.45,2.0,Male
14,15,"Kranias, Spyridon",50 Freestyle SCY,University of Incarnate Word,20.50,1.0,Male
15,15,"Moser, Ashton",50 Freestyle SCY,University of Incarnate Word,20.50,1.0,Male
16,17,"Iannaccone, Ryan",50 Freestyle SCY,Cal Poly,20.57,0.0,Male
17,17,"Zimmerman, Abraham",50 Freestyle SCY,Brigham Young University,20.57,0.0,Male
18,19,"Adamson, Henry",50 Freestyle SCY,UC Santa Barbara,20.60,0.0,Male
19,19,"Rikic, Aidan",50 Freestyle SCY,UC San Diego,20.60,0.0,Male
20,21,"Wong, Justin",50 Freestyle SCY,UC Santa Barbara,20.63,0.0,Male
21,22,"Edwards, Emerson",50 Freestyle SCY,Brigham Young University,20.64,0.0,Male
22,22,"Hardy, Matthew",50 Freestyle SCY,University of Incarnate Word,20.64,0.0,Male
23,24,"Ross, Andrew",50 Freestyle SCY,University of Hawaii,20.65,0.0,Male
24,1,"Nicolas, Javier",100 Freestyle SCY,Brigham Young University,43.26,20.0,Male
25,2,"Gutowski, Sean",100 Freestyle SCY,UC Santa Barbara,43.38,17.0,Male
26,3,"Driscoll, Matthew",100 Freestyle SCY,UC Santa Barbara,43.63,16.0,Male
27,4,"Surkovic, Mario",100 Freestyle SCY,University of Hawaii,43.67,15.0,Male
28,5,"Kolesnykov, Mykyta",100 Freestyle SCY,University of Incarnate Word,43.72,14.0,Male
29,6,"Petkovic, Andrija",100 Freestyle SCY,UC San Diego,43.77,13.0,Male
