,Place,Name,Event,Team,Time,Points,Gender
0,1,"Transom, Laticia-Leigh",50 Freestyle SCY,University of Hawaii,22.39,20.0,Female
1,2,"Nelson, Holly",50 Freestyle SCY,University of Hawaii,22.90,17.0,Female
2,3,"Statler, Nina",50 Freestyle SCY,UC Santa Barbara,23.21,16.0,Female
3,4,"Hubka, Rachel",50 Freestyle SCY,University of San Diego,23.25,15.0,Female
4,5,"Williams, Halli",50 Freestyle SCY,Brigham Young University,23.28,14.0,Female
5,6,"Popham, Mikayla",50 Freestyle SCY,California State University Bakersfield,23.33,13.0,Female
6,7,"Lee, Anna",50 Freestyle SCY,"University of California, Davis",23.40,12.0,Female
7,8,"Oyler, Rachel",50 Freestyle SCY,Brigham Young University,23.51,11.0,Female
8,9,"Friedrich, Anna",50 Freestyle SCY,University of Hawaii,23.55,9.0,Female
9,10,"Nibarger, Reagan",50 Freestyle SCY,UC Santa Barbara,23.56,7.0,Female
10,11,"Eckel, Caroline",50 Freestyle SCY,"University of California, Davis",23.57,3.0,Female
11,11,"Marusakova, Emma",50 Freestyle SCY,Brigham Young University,23.57,3.0,Female
12,13,"Ray, Ashley",50 Freestyle SCY,UC Santa Barbara,23.62,4.0,Female
13,14,"Djunic, Helena",50 Freestyle SCY,University of Hawaii,23.65,3.0,Female
14,15,"Bartell, Julia",50 Freestyle SCY,Brigham Young University,23.67,1.0,Female
15,15,"Joseph, Hannah",50 Freestyle SCY,UC Santa Barbara,23.67,1.0,Female
16,17,"McLain, Katie",50 Freestyle SCY,"University of California, Davis",23.69,0.0,Female
17,18,"Banos, Samantha",50 Freestyle SCY,UC Santa Barbara,23.78,0.0,Female
18,19,"Disimone, Holly",50 Freestyle SCY,California State University Bakersfield,23.80,0.0,Female
19,20,"Fasan, Daniela",50 Freestyle SCY,"University of California, Davis",23.81,0.0,Female
20,21,"Douglas, Christine",50 Freestyle SCY,"University of California, Davis",23.83,0.0,Female
21,22,"Zinis, Gabrielle",50 Freestyle SCY,University of San Diego,23.91,0.0,Female
22,23,"Lund, Alyssa",50 Freestyle SCY,UC Santa Barbara,23.92,0.0,Female
23,24,"Eason, Samantha",50 Freestyle SCY,University of San Diego,23.94,0.0,Female
24,1,"Transom, Laticia-Leigh",100 Freestyle SCY,University of Hawaii,48.28,20.0,Female
25,2,"Nelson, Holly",100 Freestyle SCY,University of Hawaii,49.85,17.0,Female
26,3,"Popham, Mikayla",100 Freestyle SCY,California State University Bakersfield,50.12,16.0,Female
27,4,"Williams, Halli",100 Freestyle SCY,Brigham Young University,50.54,15.0,Female
28,5,"Treydte, Casslyn",100 Freestyle SCY,University of Hawaii,50.90,14.0,Female
